f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,263,267,2201,2108,604,693,639,321,910,449,132,285,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,524,910,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,997,301,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,997,910,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,524,910,606,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,462,225
3379,3379,3202,2487,2201,2108,604,693,639,321,910,449,132,285,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,263,267,2201,2108,604,693,639,321,910,163,162,285,148
3379,3379,3202,2487,2201,2108,2690,2722,1478,524,910,606,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1291,997,1461,1841,34,97,518
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,301,148,1963,2336,2451
94,91,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,518
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,606,109,2336,2451
3379,3379,263,267,2201,103,103,693,639,321,910,163,162,285,68
3379,3379,3202,2487,2201,2108,604,693,1291,524,346,606,1006,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,524,910,148,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,560,910,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,445,449,1006,2336,2451
3379,3379,263,267,2201,103,103,693,639,321,910,163,162,285,148
3379,3379,3202,2487,2201,2108,2690,2722,639,997,910,606,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
3379,3379,3202,2487,2201,2108,604,693,639,1069,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,445,449,1006,2336,2451
3379,3379,263,267,2201,2108,604,693,639,321,910,449,132,285,68
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,30,97,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,301,606,1006,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,604,693,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,346,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,604,693,639,1069,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,560,910,1841,1963,2336,225
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,604,693,1291,524,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,301,148,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,301,148,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,346,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,148,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,346,606,1006,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,560,910,1841,1963,2336,225
3379,3379,3202,2487,2201,2108,604,693,1291,524,346,606,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,462,518
3379,3379,263,267,2201,2108,2690,2722,1478,524,445,185,1006,2336,225
3379,3379,263,267,2201,2108,604,693,639,321,910,449,132,285,68
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,462,518
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,301,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,524,346,606,1006,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,560,910,1841,1963,2336,225
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
94,91,3202,709,712,1195,2690,2722,1478,560,301,185,1963,256,518
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,301,148,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,639,1069,445,163,162,285,148
3379,3379,263,267,2201,2108,2690,2722,639,321,910,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,301,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,301,148,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,997,301,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,604,693,639,1069,445,449,1006,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,462,518
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,606,109,2336,2451
3379,3379,3202,2487,2201,103,103,693,1291,524,445,163,162,285,148
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,263,267,2201,2108,9,2722,24,321,910,449,132,285,68
3379,3379,263,267,2201,2108,604,693,639,321,910,163,162,285,148
3379,3379,263,267,2201,2108,2690,2722,639,321,346,185,1006,2336,2451
94,91,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,518
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,545,1195,2690,2722,1478,560,910,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,560,301,185,1963,2336,225
3379,3379,263,267,2201,103,103,693,639,321,910,163,162,285,148
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,606,1006,2336,2451
94,91,3202,2487,545,1195,2690,2722,1478,560,301,185,1963,256,518
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,1291,524,346,606,1006,2336,2451
3379,3379,3202,2487,2201,103,103,693,1291,524,445,163,162,285,148
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,997,910,606,1006,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,560,910,1841,1963,2336,225
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,606,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,263,267,2201,2108,604,693,639,321,910,163,162,285,148
94,91,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,997,910,606,1006,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,263,267,2201,2108,604,693,639,321,910,163,162,285,148
3379,3379,263,267,2201,103,103,693,639,321,910,163,162,285,148
3379,3379,263,267,2201,103,103,693,639,321,910,163,162,285,148
3379,3379,3202,2487,2201,2108,2690,2722,639,1069,346,606,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,462,518
3379,3379,3202,2487,2201,2108,604,693,1291,997,301,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,148,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,263,267,2201,2108,604,693,639,321,910,449,132,285,68
3379,3379,3202,2487,2201,2108,604,693,1291,997,301,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,604,693,639,1069,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,301,148,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,1069,346,606,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,518
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,639,1069,445,449,132,285,148
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,462,225
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,346,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,560,910,1841,1963,2336,225
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,606,109,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,518
3379,3379,3202,2487,2201,2108,2690,2722,639,997,910,606,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,518
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,462,225
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,1069,445,449,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,518
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,462,225
3379,3379,3202,709,712,56,66,2722,1478,1069,1461,36,30,18,19
3379,3379,3202,2487,2201,2108,2690,2722,1291,524,346,606,1006,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,1069,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,560,346,606,109,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
94,91,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,518
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,30,97,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,606,109,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,30,97,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,346,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,321,346,185,1006,2336,2451
3379,3379,3202,2487,2201,2108,604,693,639,1069,445,449,132,285,148
3379,3379,3202,2487,2201,2108,2690,2722,639,1069,346,606,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,148,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,997,1461,606,109,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,148,1963,2336,2451
3379,3379,263,267,2201,2108,2690,2722,639,321,346,185,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,709,10,10,66,2722,1478,560,910,43,34,7,14
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,524,910,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,263,267,2201,2108,604,693,639,321,910,449,132,285,2451
3379,3379,3202,2487,2201,2108,604,693,639,1069,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,1069,445,449,1006,2336,2451
3379,3379,263,267,2201,2108,2690,2722,639,321,346,185,1006,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,346,606,1006,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,524,910,148,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,148,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,518
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,604,693,1291,524,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,518
3379,3379,3202,2487,2201,2108,604,693,1291,524,346,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,346,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,1069,346,606,1006,2336,2451
3379,3379,263,267,2201,2108,604,693,639,321,910,449,132,285,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,560,910,1841,1963,256,518
3379,3379,3202,709,712,1195,2690,2722,1291,997,1461,36,109,97,518
3379,3379,3202,2487,2201,2108,2690,2722,1478,524,910,606,1006,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,30,97,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,301,148,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,709,712,56,66,2722,1478,1069,1461,1841,34,97,225
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,524,346,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,321,346,185,1006,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,524,445,449,1006,2336,2451
3379,3379,3202,2487,2201,103,103,693,639,321,910,163,162,285,148
3379,3379,3202,2487,2201,2108,2690,2722,1478,524,910,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,560,910,1841,1963,2336,225
94,91,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,518
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,301,148,1963,2336,2451
94,91,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,18
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,462,518
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,524,910,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,1069,346,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,524,346,606,1006,2336,2451
94,91,263,267,545,1195,2690,2722,1478,524,1461,606,15,2336,225
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,606,1006,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,997,445,185,1006,2336,2451
3379,3379,3202,2487,2201,2108,604,693,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,560,910,1841,1963,2336,225
3379,3379,3202,2487,2201,2108,2690,2722,1478,524,910,606,1006,2336,2451
3379,3379,263,267,2201,2108,2690,2722,639,997,445,185,1006,2336,2451
3379,3379,263,267,2201,2108,2690,2722,639,321,346,185,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,1069,346,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,604,693,639,1069,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1291,997,1461,1841,1963,462,518
3379,3379,263,267,2201,2108,604,693,639,321,910,449,132,285,68
3379,3379,3202,2487,545,1195,2690,2722,1478,560,910,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,639,321,346,185,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,606,1006,2336,2451
3379,3379,3202,2487,2201,103,103,693,1291,524,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,524,910,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,709,712,56,66,2722,1291,997,1461,606,109,462,518
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,1291,524,346,606,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,43,109,97,2451
3379,3379,3202,2487,2201,2108,604,693,1291,997,301,606,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,1478,1069,301,606,1006,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,604,693,1291,524,445,449,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,263,267,2201,2108,604,693,639,321,910,163,162,285,68
3379,3379,3202,2487,2201,2108,604,693,639,321,910,449,132,285,2451
3379,3379,3202,709,712,56,66,2722,1478,1069,1461,36,109,97,225
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,709,712,56,66,2722,1478,560,910,36,109,256,19
3379,3379,263,267,2201,2108,2690,2722,639,321,346,185,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,301,606,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,462,225
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,462,225
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,2336,2451
3379,3379,263,267,2201,2108,604,693,639,321,910,449,132,285,68
3379,3379,3202,2487,2201,103,103,693,639,1069,445,163,162,285,148
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,709,10,10,66,2722,1478,560,910,36,30,18,18
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,639,997,910,606,1006,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,256,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1291,997,1461,1841,1963,462,518
3379,3379,3202,709,712,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,2201,2108,2690,2722,1291,997,1461,1841,1963,2336,2451
3379,3379,3202,2487,545,1195,2690,2722,1478,1069,1461,1841,1963,462,518
3379,3379,3202,2487,2201,2108,2690,2722,639,1069,346,606,1006,2336,2451
3379,3379,3202,709,712,1195,2690,2722,1478,560,910,1841,1963,462,225
